Timestamp,CogSci Student year,Gender,"1. Whenever I’m faced with a choice, I try to imagine what all the other possibilities are, even ones that aren’t present at the moment. (1= completely disagree, 7 = completely agree)","2. No matter how satisfied I am with my job, it’s only right for me to be on the lookout for better opportunities (1= completely disagree, 7 = completely agree).","3. When I am in the car listening to the radio, I often check other stations to see if something better is playing, even if I am relatively satisfied with what I’m listening to. (1= completely disagree, 7 = completely agree).","4. When I watch TV, I channel surf, often scanning through the available options even while attempt- ing to watch one program. (1= completely disagree, 7 = completely agree).","5. I treat relationships like clothing: I expect to try a lot on before finding the perfect fit. (1= completely disagree, 7 = completely agree).","6. I often find it difficult to shop for a gift for a friend. (1= completely disagree, 7 = completely agree).","7. Seeing a film is really difficult. I’m always struggling to pick the best one. (1= completely disagree, 7 = completely agree).","8. When shopping, I have a hard time finding cloth-ing that I really love. (1= completely disagree, 7 = completely agree).","9. I’m a big fan of lists that attempt to rank things (the best movies, the best singers, the best athletes, the best novels, etc.). (1= completely disagree, 7 = completely agree).","10. I find that writing is very difficult, even if it’s just writing a letter to a friend, because it’s so hard to word things just right. I often do several drafts of even simple things. (1= completely disagree, 7 = completely agree).","11. No matter what I do, I have the highest standards for myself. (1= completely disagree, 7 = completely agree).","12. I never settle for second best. (1= completely disagree, 7 = completely agree).","13. I often fantasize about living in ways that are quitedifferent from my actual life. (1= completely disagree, 7 = completely agree).","1. Once I make a decision, I don’t look back. (1= completely disagree, 7 = completely agree).","2. Whenever I make a choice, I’m curious about what would have happened if I had chosen differently. (1= completely disagree, 7 = completely agree).","3. If I make a choice and it turns out well, I still feel like something of a failure if I find out that anotherchoice would have turned out better. (1= completely disagree, 7 = completely agree).","4. Whenever I make a choice, I try to get information about how the other alternatives turned out. (1= completely disagree, 7 = completely agree).","5. When I think about how I’m doing in life, I often assess opportunities I have passed up. (1= completely disagree, 7 = completely agree).","1. In general, I consider myself (1= not a very happy person, 7 = a very happy person).","2. Compared to most of my peers, I consider myself: (1= less happy, 7 = more happy).","3. Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1= not at all, 7 = a great deal).","4. Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extend does this characterization describe you? (1= not at all, 7 = a great deal)."
2/1/2021 19:43:35,1995,Male,5,2,1,2,2,6,3,6,6,2,5,4,5,5,3,4,4,3,5,4,3,5
2/1/2021 17:33:42,2015,Female,5,6,1,1,1,4,4,4,2,2,5,1,7,5,3,2,4,1,5,6,6,2
2/1/2021 20:56:06,2015,Female,6,4,3,2,1,4,3,3,5,3,7,3,5,2,3,5,2,2,3,3,2,4
2/2/2021 8:13:36,2015,Female,6,4,4,3,3,6,6,4,3,6,6,2,6,3,5,6,3,6,6,7,6,2
2/3/2021 8:38:58,2015,Female,4,5,2,4,2,3,4,4,2,2,3,2,3,3,5,2,3,4,5,5,4,3
2/1/2021 17:21:14,2016,Male,5,5,2,1,1,6,3,5,4,6,6,6,5,3,4,2,4,3,5,4,4,2
2/1/2021 17:59:33,2016,Male,4,3,2,3,1,2,6,5,3,7,5,4,6,4,5,2,1,1,4,2,4,1
2/1/2021 20:09:05,2016,Female,2,2,5,1,2,4,6,1,7,2,5,4,7,4,2,5,3,2,7,5,5,2
2/1/2021 20:34:31,2016,Female,7,3,1,1,2,6,5,7,4,5,6,4,7,2,6,5,6,5,5,4,4,6
2/2/2021 9:53:10,2016,Female,3,5,2,1,2,5,2,2,4,2,4,1,5,2,5,1,3,1,6,5,5,2
2/1/2021 18:01:43,2017,Female,6,2,4,2,5,2,5,4,6,7,5,5,7,4,6,7,6,4,5,4,5,2
2/1/2021 18:46:26,2017,Female,5,3,2,1,3,4,6,4,5,6,5,3,5,3,7,4,2,3,6,6,6,1
2/2/2021 11:48:52,2017,Female,3,5,2,2,4,3,5,3,6,6,6,5,6,2,6,5,5,5,5,5,3,5
2/2/2021 12:29:55,2017,Female,6,5,2,3,3,7,6,3,6,4,5,6,5,2,6,5,2,2,5,5,5,2
2/1/2021 17:21:43,2018,Female,6,4,3,2,7,3,5,3,2,6,6,4,7,4,4,5,5,3,4,3,3,5
2/1/2021 18:03:27,2018,Female,3,2,3,2,2,5,3,4,2,1,6,5,2,3,5,5,1,2,6,5,6,2
2/1/2021 18:59:27,2018,Female,7,5,6,5,3,5,6,4,6,4,6,4,6,1,6,3,5,6,4,5,5,2
2/1/2021 19:11:38,2018,Male,5,5,5,4,3,6,3,3,5,6,3,4,7,5,4,4,4,5,4,5,3,5
2/1/2021 21:45:51,2018,Female,5,5,3,6,2,7,7,1,2,6,7,2,2,5,3,3,2,4,4,3,7,6
2/1/2021 22:01:45,2018,Female,7,3,5,5,2,5,7,6,5,3,7,6,7,3,4,2,3,5,5,3,6,5
2/1/2021 22:25:07,2018,Male,6,4,3,2,1,2,6,2,6,1,6,5,2,5,6,2,4,1,5,3,3,6
2/1/2021 22:49:29,2018,Female,5,1,2,1,2,3,1,3,2,2,6,7,6,6,4,1,3,3,6,6,6,2
2/2/2021 9:57:43,2018,Female,5,3,2,1,4,5,6,5,6,2,2,3,4,2,5,5,3,5,6,5,6,2
2/1/2021 17:21:45,2019,Female,5,5,5,2,6,6,3,3,3,6,6,4,6,3,6,5,6,3,3,3,5,2
2/1/2021 17:34:17,2019,Female,7,6,5,4,3,4,3,6,4,1,5,4,7,3,5,5,5,7,4,4,3,5
2/1/2021 17:36:28,2019,Female,5,5,2,1,3,4,3,2,3,2,6,2,7,3,5,5,2,1,6,5,5,2
2/1/2021 17:36:58,2019,Female,4,7,1,1,1,5,3,6,1,1,5,2,3,2,5,2,1,5,4,3,4,7
2/1/2021 17:50:50,2019,Male,3,2,4,4,2,3,2,5,2,5,5,4,4,7,3,1,4,1,4,4,5,4
2/1/2021 18:05:11,2019,Male,4,3,1,4,5,3,3,2,6,2,6,5,4,5,2,6,3,1,6,5,6,2
2/1/2021 19:10:23,2019,Female,5,2,1,2,2,3,5,6,1,1,7,5,5,1,5,5,1,1,6,5,3,3
2/1/2021 19:28:42,2019,Female,4,7,7,6,1,3,7,6,2,2,7,5,6,1,7,7,7,5,6,4,4,2
2/1/2021 21:14:35,2019,Female,4,5,3,2,5,6,4,1,5,2,4,3,3,5,5,5,5,2,6,5,5,1
2/1/2021 22:07:12,2019,Female,6,4,2,1,4,3,2,2,5,1,5,3,5,5,3,2,2,4,5,4,3,4
2/1/2021 22:34:08,2019,Male,6,6,4,4,2,7,6,4,5,2,3,1,7,6,5,2,4,5,6,4,6,2
2/2/2021 13:49:33,2019,Male,6,3,4,6,4,7,5,4,6,3,5,6,6,2,7,3,4,4,4,4,3,4
2/1/2021 17:20:26,2020,Female,4,5,7,3,1,7,4,6,7,2,7,5,4,1,7,7,6,5,3,2,4,4
2/1/2021 17:20:26,2020,Female,5,5,3,5,2,3,6,5,6,3,6,5,3,5,5,5,3,2,7,5,7,1
2/1/2021 17:21:56,2020,Male,4,6,3,6,2,6,6,3,6,5,7,6,4,5,3,2,3,2,5,6,5,3
2/1/2021 17:22:12,2020,Female,5,6,6,7,6,3,6,4,7,3,6,4,3,4,6,6,5,6,5,6,6,2
2/1/2021 17:33:49,2020,Male,6,6,3,2,2,5,1,6,6,6,5,3,2,6,2,1,2,1,7,7,6,1
2/1/2021 17:47:15,2020,Female,6,7,6,4,4,3,2,5,5,3,7,5,7,1,7,6,4,5,4,2,2,5
2/1/2021 17:48:02,2020,Female,6,3,3,2,3,3,2,5,2,1,3,3,3,3,3,1,3,3,3,2,3,3
2/1/2021 17:55:57,2020,Female,2,4,1,1,2,6,3,6,5,3,7,5,7,6,5,2,3,5,5,5,5,2
2/1/2021 17:56:19,2020,Female,7,5,4,4,3,7,4,7,7,4,7,7,5,3,4,5,5,4,7,5,6,1
2/1/2021 18:04:52,2020,Male,3,4,2,7,3,6,7,4,7,7,3,4,5,3,2,1,2,1,5,5,1,3
2/1/2021 18:09:03,2020,Female,4,6,3,6,5,5,5,3,6,7,6,5,6,4,5,3,5,6,6,4,5,2
2/1/2021 18:17:28,2020,Female,3,2,1,1,2,5,6,4,1,3,4,3,5,4,4,4,1,1,5,4,5,2
2/1/2021 18:20:10,2020,Female,6,5,4,7,2,3,6,5,6,7,6,2,1,4,7,1,6,1,7,7,7,1
2/1/2021 18:45:35,2020,Female,6,5,5,7,2,6,7,7,5,6,6,4,6,5,4,3,5,4,6,6,6,2
2/1/2021 18:53:21,2020,Male,4,2,6,5,2,3,3,1,7,3,6,6,7,6,5,1,3,4,5,5,6,2
2/1/2021 19:05:38,2020,Male,2,3,2,6,4,3,6,6,1,7,5,3,4,5,3,2,4,2,5,3,3,3
2/1/2021 19:24:55,2020,Male,4,3,3,2,2,4,4,6,6,6,5,3,4,3,6,5,5,6,5,4,4,4
2/1/2021 19:25:02,2020,Male,5,5,3,5,5,4,3,5,5,2,5,3,5,4,3,3,2,2,5,5,4,3
2/1/2021 21:01:42,2020,Female,5,6,1,4,5,7,5,4,1,1,7,1,7,1,7,4,2,7,5,2,4,5
2/1/2021 21:11:27,2020,Female,6,4,1,2,4,3,5,6,5,3,6,4,7,3,3,4,2,3,6,6,5,1
2/1/2021 22:31:59,2020,Male,2,5,1,1,4,5,1,4,6,1,4,1,1,4,5,5,4,1,6,4,4,4
2/1/2021 23:01:02,2020,Female,5,5,1,1,2,5,3,3,3,3,3,1,3,5,3,2,3,2,6,6,6,1
2/1/2021 23:46:05,2020,Male,5,4,2,3,2,6,4,6,3,7,6,3,5,3,5,4,5,2,5,6,5,2
2/2/2021 7:38:10,2020,Male,4,5,3,1,1,2,5,6,6,2,6,4,3,3,4,2,6,2,5,3,3,5
2/2/2021 8:23:13,2020,Female,3,2,2,2,2,6,5,3,7,4,4,2,3,5,5,3,5,2,7,5,6,1
2/2/2021 8:30:01,2020,Female,4,5,1,2,5,2,3,2,1,3,5,4,7,3,5,5,5,3,5,4,6,2
2/2/2021 9:07:19,2020,Male,5,5,6,5,5,7,3,5,6,2,6,3,5,2,5,5,5,5,5,5,4,3
2/2/2021 9:43:23,2020,Female,5,3,1,2,2,5,2,2,2,6,5,3,3,2,5,5,2,2,6,5,5,1
2/2/2021 9:59:04,2020,Female,6,4,2,5,1,6,2,1,6,2,7,4,7,1,6,4,4,6,5,2,4,4
2/2/2021 10:15:01,2020,Female,5,1,3,2,1,3,3,4,2,5,5,4,3,3,3,4,3,4,7,7,6,1
2/2/2021 11:52:38,2020,Female,3,3,4,2,4,6,3,5,2,3,3,2,3,6,3,3,3,2,6,6,6,3
2/2/2021 12:02:33,2020,Male,3,3,3,1,3,3,4,6,5,5,3,3,5,1,3,3,3,5,5,4,5,2
2/2/2021 14:03:31,2020,Male,3,5,1,5,2,2,4,2,4,2,5,2,5,3,2,1,4,2,6,5,6,1
2/2/2021 21:38:49,2020,Female,4,1,1,2,1,3,2,7,1,1,3,2,3,4,2,2,1,1,7,5,7,2
2/3/2021 11:54:49,2020,Male,6,4,2,4,3,2,5,2,3,2,6,5,4,5,5,5,6,3,6,6,4,2
2/3/2021 12:42:38,2020,Female,5,4,7,3,1,4,7,4,5,3,7,5,7,5,4,1,1,1,7,5,6,1
2/3/2021 12:46:49,2020,Female,5,3,3,2,3,6,4,5,6,3,5,3,6,5,3,2,2,2,3,3,3,2
2/3/2021 13:43:44,2020,Female,4,2,2,1,3,1,1,3,1,1,4,1,3,5,2,1,1,1,7,6,6,2
2/3/2021 13:55:58,2020,Female,6,5,3,4,5,7,6,7,5,6,6,4,7,5,5,4,5,5,6,6,5,2
2/3/2021 14:08:34,2019,Male,5,3,2,1,2,2,5,2,6,1,5,5,1,5,3,2,2,1,6,7,5,1
2/3/2021 14:22:37,2020,Female,6,2,5,5,3,4,5,5,3,5,7,3,4,5,4,5,6,2,5,4,1,3
2/3/2021 15:53:04,2020,Non-binary,6,5,1,1,4,5,2,4,2,1,7,2,1,6,5,1,3,2,5,4,5,4
2/3/2021 22:55:50,2020,Male,5,2,4,7,4,3,6,6,4,2,5,3,2,3,4,2,4,2,6,5,6,2
2/4/2021 13:05:04,2020,Female,5,3,2,2,1,3,5,6,2,2,6,5,4,2,5,3,3,3,6,4,4,2
2/4/2021 15:58:44,2020,Female,7,7,3,1,1,5,5,5,1,5,7,5,7,4,7,7,6,7,6,3,5,5
2/4/2021 20:47:24,2020,Female,6,2,5,5,3,4,5,5,3,5,7,3,4,5,4,5,6,2,5,4,1,3
2/1/2022 14:21:23,2021,Female,4,6,6,6,4,3,6,3,7,1,5,6,7,5,5,3,2,3,5,4,3,1
2/1/2022 14:21:26,2021,Male,5,5,3,3,5,7,6,5,6,7,6,6,4,2,6,5,6,6,5,5,5,3
2/1/2022 14:33:12,2021,Male,5,1,2,3,4,4,4,2,2,3,7,7,4,6,2,3,3,3,4,4,5,4
2/1/2022 15:15:46,2021,Male,5,5,1,2,2,6,4,3,3,5,6,4,3,6,2,2,2,3,6,6,6,2
2/1/2022 15:39:27,2021,Female,5,3,6,5,2,6,4,6,5,3,6,5,5,2,6,5,7,4,6,5,5,2
2/1/2022 15:40:33,2021,Male,6,4,4,2,1,2,5,3,2,5,5,2,5,4,3,3,2,2,5,4,5,2
2/1/2022 15:53:07,2021,Female,6,2,5,2,6,3,2,6,2,5,7,6,5,7,4,2,4,2,5,4,2,4
2/1/2022 16:04:12,2021,Female,5,2,3,4,6,4,5,2,4,3,7,6,2,4,5,4,6,4,6,5,4,2
2/1/2022 16:05:18,2020,Female,4,5,1,2,6,6,5,7,6,1,7,7,2,4,2,1,2,2,6,5,5,4
2/1/2022 16:13:23,2021,Female,7,4,2,3,2,3,2,6,7,7,7,6,7,1,7,6,7,6,2,3,1,7
2/1/2022 16:14:27,2021,Female,5,6,1,1,7,7,7,1,6,2,7,6,4,6,7,5,7,1,7,4,6,1
2/1/2022 16:21:28,2021,Female,6,2,2,1,1,4,7,6,2,2,3,2,7,6,5,2,2,2,6,5,5,1
2/1/2022 16:51:10,2021,Female,5,5,2,4,5,3,5,3,2,4,6,5,4,3,2,2,2,1,5,4,1,5
2/1/2022 17:28:03,2021,Female,6,6,2,1,3,2,2,2,1,1,6,2,3,3,5,3,2,1,7,5,7,2
2/1/2022 17:32:16,2021,Female,6,5,1,1,1,3,7,7,5,4,3,2,5,3,5,6,5,5,3,2,2,6
2/1/2022 18:19:29,2021,Female,7,4,2,3,3,5,7,5,5,2,6,4,5,6,4,6,4,7,4,3,3,3
2/1/2022 18:49:00,2021,Female,6,3,5,5,1,4,3,4,2,7,5,2,4,3,6,2,5,4,5,4,5,2
2/1/2022 19:15:27,2021,Male,6,7,5,5,1,5,6,3,2,4,6,4,3,2,7,5,3,3,4,2,6,2
2/1/2022 19:49:07,2021,Female,4,3,2,5,2,2,2,3,2,2,3,1,6,3,3,2,2,3,6,5,4,3
2/1/2022 21:02:49,2021,Female,6,5,5,3,1,5,5,5,5,4,7,7,5,2,5,3,6,3,3,2,3,5
2/1/2022 22:39:38,2021,Male,4,2,1,2,1,6,4,3,2,3,4,2,4,6,3,2,3,3,5,5,4,3
2/2/2022 5:20:16,2021,Male,5,3,2,2,1,5,4,1,3,5,4,1,7,7,4,2,2,3,1,1,1,1
2/2/2022 8:24:34,2021,Female,5,3,2,1,5,1,3,2,2,3,6,3,6,3,5,2,4,2,5,2,4,2
2/2/2022 8:52:51,2021,Female,6,6,5,7,7,2,5,7,4,7,7,4,6,2,6,5,5,6,2,2,1,6
2/2/2022 9:40:48,2021,Female,6,3,3,6,5,6,7,3,3,6,5,4,5,6,4,4,5,5,5,6,5,2
2/2/2022 11:13:06,2021,Female,2,2,3,4,6,6,6,5,7,1,3,3,5,3,5,5,2,2,5,5,5,3
2/2/2022 11:40:11,2021,Female,6,5,7,5,5,5,3,7,5,2,4,4,4,5,5,4,4,3,7,6,6,2
2/2/2022 13:03:22,2021,Female,5,4,6,2,2,6,6,5,7,2,7,7,3,2,6,2,5,3,6,5,4,1
2/2/2022 13:57:36,2021,Male,5,7,3,7,6,4,4,7,5,7,5,4,7,6,4,2,4,5,6,6,5,1
2/2/2022 17:43:51,2021,Female,3,5,2,1,4,3,3,6,4,2,7,7,2,5,2,5,5,2,6,6,6,2
2/2/2022 20:20:38,2021,Male,4,6,3,1,4,5,5,2,2,3,3,2,2,6,1,2,1,2,6,4,5,2
2/2/2022 22:36:37,2021,Female,5,7,1,6,1,3,4,4,1,3,4,4,7,3,7,5,3,7,6,6,6,1
2/2/2022 22:47:32,2021,Male,7,4,7,7,5,5,5,6,3,7,7,6,7,4,6,5,6,4,5,3,5,6
2/2/2022 23:16:17,2021,Male,4,6,3,1,6,5,2,2,4,2,2,3,4,6,4,2,6,3,6,6,7,2
2/3/2022 9:06:32,2021,Female,7,6,3,1,1,5,1,5,5,2,4,3,3,4,5,2,2,3,5,4,5,5
2/3/2022 11:19:06,2021,Male,3,5,2,4,1,2,2,1,3,1,6,5,5,6,2,1,3,2,7,7,7,1
2/3/2022 12:02:08,2021,Female,6,5,5,4,4,3,2,4,5,2,6,6,4,5,4,2,5,5,6,5,5,2
2/3/2022 12:08:37,2021,Male,5,3,2,4,4,2,2,6,4,2,3,2,3,6,2,2,4,1,6,4,5,2
2/3/2022 12:12:40,2021,Male,6,2,4,4,2,6,7,6,3,5,6,5,6,1,6,6,5,6,4,4,2,5
2/3/2022 12:52:11,2021,Female,5,3,2,1,3,4,3,2,6,3,3,4,5,4,5,4,2,3,5,5,6,2
2/3/2022 14:33:18,2021,Male,6,5,6,2,4,6,2,5,5,3,6,6,5,2,5,3,5,2,5,4,3,6
2/3/2022 16:59:11,2021,Female,5,3,5,2,2,4,5,3,3,2,7,5,7,1,6,5,3,5,4,3,3,3
2/3/2022 16:59:37,2021,Male,5,5,6,4,2,3,2,4,4,1,3,2,2,5,2,1,1,2,6,6,6,5
2/4/2022 8:17:32,2021,Female,7,4,7,6,1,6,6,7,7,2,5,3,7,3,5,7,6,5,2,2,1,6