"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"53974.92499998771","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","53976","0.0-0.0","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","","","","",""
"15584.924999973737","","","survey-text","1","69563","0.0-1.0","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","{""Q0"":""GO23""}","","","","","","","",""
"3145.9549999563023","","","survey-text","2","72711","0.0-2.0","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","{""Q0"":""19""}","","","","","","","",""
"6556.445000052918","","","survey-multi-select","3","79269","0.0-3.0","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3039.649999991525","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","82310","0.0-4.0","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","50","50","","","","",""
"11469.439999957103","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","93781","0.0-5.0","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","50","16","","","","",""
"23533.984999987297","","","survey-multi-select","6","117324","0.0-6.0","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","{""Sleep"":[""0""],""Eat"":[""13""]}","[0,1]","","","","","","",""
"55034.92000000551","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p>Respond as fast as possible while being correct. <strong>Ignore</strong> the written words. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","70","html-keyboard-response","7","172360","0.0-7.0","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","175615","0.0-8.0-0.0","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"2908.4750000038184","img/image_stim_f.png","32","image-keyboard-response","9","178525","0.0-8.0-1.0","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","179782","0.0-8.0-0.1","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"1293.5299999662675","img/image_stim_h_stroop.png","32","image-keyboard-response","11","181077","0.0-8.0-1.1","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","183079","0.0-8.0-0.2","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"342.0200000400655","img/image_stim_h.png","32","image-keyboard-response","13","183421","0.0-8.0-1.2","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","happy","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","183673","0.0-8.0-0.3","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"1012.3599999933504","img/image_stim_f_stroop.png","32","image-keyboard-response","15","184686","0.0-8.0-1.3","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","185689","0.0-8.0-0.4","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"1540.7149999518879","img/image_stim_h.png","72","image-keyboard-response","17","187231","0.0-8.0-1.4","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","187983","0.0-8.0-0.5","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"1042.6250000018626","img/image_stim_f.png","70","image-keyboard-response","19","189027","0.0-8.0-1.5","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","190031","0.0-8.0-0.6","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"1773.7799999886192","img/image_stim_f_stroop.png","70","image-keyboard-response","21","191806","0.0-8.0-1.6","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","193312","0.0-8.0-0.7","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"1241.9099999824539","img/image_stim_h_stroop.png","72","image-keyboard-response","23","194556","0.0-8.0-1.7","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","195312","0.0-8.0-0.8","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"1062.5250000157394","img/image_stim_f.png","70","image-keyboard-response","25","196376","0.0-8.0-1.8","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","197629","0.0-8.0-0.9","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"653.5799999837764","img/image_stim_h_stroop.png","72","image-keyboard-response","27","198284","0.0-8.0-1.9","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","199790","0.0-8.0-0.10","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"1524.0449999691918","img/image_stim_f_stroop.png","70","image-keyboard-response","29","201316","0.0-8.0-1.10","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","202823","0.0-8.0-0.11","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"1345.050000003539","img/image_stim_h.png","72","image-keyboard-response","31","204169","0.0-8.0-1.11","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","205425","0.0-8.0-0.12","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"904.4749999884516","img/image_stim_f.png","70","image-keyboard-response","33","206330","0.0-8.0-1.12","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","207085","0.0-8.0-0.13","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"952.495000034105","img/image_stim_h.png","72","image-keyboard-response","35","208039","0.0-8.0-1.13","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","208292","0.0-8.0-0.14","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"1195.0700000161305","img/image_stim_h_stroop.png","72","image-keyboard-response","37","209488","0.0-8.0-1.14","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","210242","0.0-8.0-0.15","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"636.4700000267476","img/image_stim_f_stroop.png","70","image-keyboard-response","39","210880","0.0-8.0-1.15","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","211382","0.0-8.0-0.16","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"796.7049999861047","img/image_stim_h_stroop.png","72","image-keyboard-response","41","212180","0.0-8.0-1.16","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","213935","0.0-8.0-0.17","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"707.4450000072829","img/image_stim_f.png","70","image-keyboard-response","43","214645","0.0-8.0-1.17","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","214898","0.0-8.0-0.18","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"1188.22499999078","img/image_stim_f_stroop.png","70","image-keyboard-response","45","216088","0.0-8.0-1.18","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","217593","0.0-8.0-0.19","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"976.4499999582767","img/image_stim_h.png","72","image-keyboard-response","47","218570","0.0-8.0-1.19","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","219323","0.0-8.0-0.20","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"665.5100000207312","img/image_stim_f.png","70","image-keyboard-response","49","219990","0.0-8.0-1.20","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","50","220746","0.0-8.0-0.21","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"709.5149999950081","img/image_stim_h.png","72","image-keyboard-response","51","221457","0.0-8.0-1.21","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","222213","0.0-8.0-0.22","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"1103.884999989532","img/image_stim_h_stroop.png","72","image-keyboard-response","53","223318","0.0-8.0-1.22","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","225323","0.0-8.0-0.23","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"1282.4550000368617","img/image_stim_f_stroop.png","70","image-keyboard-response","55","226607","0.0-8.0-1.23","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","56","228362","0.0-8.0-0.24","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"595.5700000049546","img/image_stim_h_stroop.png","72","image-keyboard-response","57","228960","0.0-8.0-1.24","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","58","230463","0.0-8.0-0.25","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"632.7949999831617","img/image_stim_h.png","72","image-keyboard-response","59","231097","0.0-8.0-1.25","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","231351","0.0-8.0-0.26","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"642.6850000279956","img/image_stim_f.png","70","image-keyboard-response","61","231995","0.0-8.0-1.26","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","62","233000","0.0-8.0-0.27","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"1366.9699999736622","img/image_stim_f_stroop.png","70","image-keyboard-response","63","234368","0.0-8.0-1.27","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","64","235623","0.0-8.0-0.28","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"658.400000014808","img/image_stim_h.png","72","image-keyboard-response","65","236282","0.0-8.0-1.28","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","237040","0.0-8.0-0.29","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"864.9999999906868","img/image_stim_h_stroop.png","72","image-keyboard-response","67","237907","0.0-8.0-1.29","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","68","239910","0.0-8.0-0.30","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"587.485000025481","img/image_stim_f_stroop.png","70","image-keyboard-response","69","240500","0.0-8.0-1.30","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","70","241505","0.0-8.0-0.31","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","fixation","","","",""
"924.3000000133179","img/image_stim_f.png","70","image-keyboard-response","71","242430","0.0-8.0-1.31","5f1vju","Sun Feb 07 2021 11:35:52 GMT+0100 (Central European Standard Time)","2021","2","7","11","35","52","GO23","19","male","right","50","16","0","13","","","","","test","fear","fear","f","true"
